address,year,x,y,exact_date
1828 Indiana ave.,1924.000000000000000,-87.622483000000003,41.857464000000000,1924-02-03
212 E. 44th st.,1924.000000000000000,-87.621067999999994,41.814857000000003,1924-02-04
26th near stewart,1924.000000000000000,-87.636330130000005,41.845428280000000,1924-02-07
1458 Madison st.,1924.000000000000000,-87.663432999999998,41.881636999999998,1924-02-08
4642 W. Madison st.,1924.000000000000000,-87.741570999999993,41.880693000000001,1924-02-09
209 N. Wood st.,1924.000000000000000,-87.671650999999997,41.885511999999999,1924-02-09
4642 W Madison,1924.000000000000000,-87.741570999999993,41.880693000000001,1924-02-09
3123 Vernon ave.,1924.000000000000000,-87.615215000000006,41.837829999999997,1924-02-10
4204 Michigan ave.,1924.000000000000000,-87.623267999999996,41.818095999999997,1924-02-11
3114 Moffat,1924.000000000000000,-87.705571000000006,41.914836999999999,1924-02-11
3513 Calumet St.,1924.000000000000000,-87.618205000000003,41.830748000000000,1924-02-12
3513 Calumet ave.,1924.000000000000000,-87.618205000000003,41.830748000000000,1924-02-12
